text,label
Billy is a liar,1
She stole money from the company,1
He is a convicted criminal,1
The defendant is a fraud,1
She cheated on her taxes,1
He abused his employees,1
She spread false rumors about me,1
He is incompetent at his job,1
She committed perjury in court,1
He is a drug addict,1
John is a liar,1
He embezzled funds from the company,1
She has a criminal record,1
He is a fraudster,1
He evaded taxes,1
She mistreated her workers,1
He slandered me publicly,1
She is unfit for the role,1
He lied under oath in court,1
She has a substance abuse problem,1
They stole from investors,1
The plaintiff is a convicted felon,1
She defrauded her clients,1
He committed tax fraud,1
He harassed his staff,1
They spread lies about me,1
He cannot do the job properly,1
They gave false testimony,1
He is addicted to drugs,1
She is a thief and a cheat,1
He molested children,1
The CEO is a known con artist,1
She bribed the judge,1
He forged the documents,1
They conspired to defraud shareholders,1
She is a pathological liar,1
He assaulted his wife,1
The defendant perjured himself,1
She embezzled millions,1
He is a serial adulterer,1
One speaker claimed that Councilor Davis stole funds from the parks department,1
Another resident alleged that the mayor is a fraud who cheated on his taxes,1
One editorial suggested that Davis is incompetent at her job and should resign,1
A former employee accused the mayor of abusing his staff and creating a hostile workplace,1
Someone said that the treasurer embezzled money and committed perjury when questioned,1
One citizen claimed that Johnson is a drug addict and unfit for office,1
A blogger wrote that Davis spread false rumors about her opponents during the campaign,1
One of them reportedly said that our city manager is a convicted criminal,1
Witnesses testified that he lied under oath,1
The complaint alleges that she defrauded investors,1
He was accused of stealing from the company,1
She is widely known as a fraud,1
He is a corrupt politician,1
She falsified the records,1
He took bribes from contractors,1
She is a known adulterer,1
He molested his stepdaughter,1
The witness lied on the stand,1
She poisoned her husband,1
He is a terrorist sympathizer,1
She trafficked drugs across the border,1
He rigged the election,1
She is a money launderer,1
He assaulted a police officer,1
She committed insurance fraud,1
He is a pedophile,1
She forged her credentials,1
He stole from the charity,1
She is a con artist,1
He abused his position of power,1
She leaked classified information,1
He is a wife beater,1
She sabotaged the project,1
He bribed the inspector,1
She is a habitual drunk,1
He falsified his resume,1
She stole the idea from her partner,1
He is a racist,1
She committed identity theft,1
He harassed his female colleagues,1
She is a tax evader,1
He rigged the bidding process,1
She spread malicious gossip,1
He is a child abuser,1
She embezzled from the pension fund,1
He lied to the board,1
She is a negligent doctor,1
He covered up the crime,1
She committed Medicare fraud,1
He is a sexual predator,1
She fabricated the evidence,1
He stole credit for her work,1
She is a corrupt judge,1
He paid off the witnesses,1
Billy wears a baseball cap,0
She went to the store yesterday,0
The meeting is at 3 PM,0
He lives in Boston,0
She enjoys reading books,0
The weather is nice today,0
He drives a blue car,0
She has two children,0
The restaurant is closed on Mondays,0
He plays guitar in a band,0
She wears a hat,0
He went to the store yesterday,0
The appointment is at noon,0
She lives in Boston,0
He likes to read,0
It is sunny today,0
She drives a red car,0
He has three kids,0
The store opens at 9 AM,0
