text,label
Billy is a liar,1
She stole money from the company,1
He is a convicted criminal,1
The defendant is a fraud,1
She cheated on her taxes,1
He abused his employees,1
She spread false rumors about me,1
He is incompetent at his job,1
She committed perjury in court,1
He is a drug addict,1
Billy wears a baseball cap,0
She went to the store yesterday,0
The meeting is at 3 PM,0
He lives in Boston,0
She enjoys reading books,0
The weather is nice today,0
He drives a blue car,0
She has two children,0
The restaurant is closed on Mondays,0
He plays guitar in a band,0
