text,label
Billy is a liar,1
She stole money from the company,1
He is a convicted criminal,1
The defendant is a fraud,1
She cheated on her taxes,1
He abused his employees,1
She spread false rumors about me,1
He is incompetent at his job,1
She committed perjury in court,1
He is a drug addict,1
John is a liar,1
He embezzled funds from the company,1
She has a criminal record,1
He is a fraudster,1
He evaded taxes,1
She mistreated her workers,1
He slandered me publicly,1
She is unfit for the role,1
He lied under oath in court,1
She has a substance abuse problem,1
They stole from investors,1
The plaintiff is a convicted felon,1
She defrauded her clients,1
He committed tax fraud,1
He harassed his staff,1
They spread lies about me,1
He cannot do the job properly,1
They gave false testimony,1
He is addicted to drugs,1
Billy wears a baseball cap,0
She went to the store yesterday,0
The meeting is at 3 PM,0
He lives in Boston,0
She enjoys reading books,0
The weather is nice today,0
He drives a blue car,0
She has two children,0
The restaurant is closed on Mondays,0
He plays guitar in a band,0
She wears a hat,0
He went to the store yesterday,0
The appointment is at noon,0
She lives in Boston,0
He likes to read,0
It is sunny today,0
She drives a red car,0
He has three kids,0
The store opens at 9 AM,0
She sings in a choir,0
They went shopping,0
The call is at 5 PM,0
They reside in New York,0
They enjoy reading,0
The weather is fine,0
They have a car,0
They have a family,0
The office is closed on weekends,0
They play music,0
Please tell the jury why you are here,0
The meeting will start soon,0
What time is it?,0
